,accuracy,accuracy_loss,compression,type,tar_type,repr,share_t,acc_t
209,0.9704,1.4200000000000002,10.1758,BH,K-Means,"[45, 12, 4, 5, 4]",0.39117885,0.5405953
210,0.9774,0.72,9.659881,BH,K-Means,"[43, 10, 4, 12, 4]",0.41146708,0.5403805
211,0.9752,0.9400000000000001,8.690131,BH,K-Means,"[40, 11, 4, 7, 10]",0.3952124,0.54104877
212,0.9698,1.48,10.17576,BH,K-Means,"[44, 13, 4, 5, 4]",0.3952992,0.5362146
213,0.9734,1.1199999999999999,10.176365,BH,K-Means,"[44, 12, 4, 7, 4]",0.3864348,0.5376651
214,0.9696,1.5,11.250099,BH,K-Means,"[42, 12, 4, 4, 4]",0.36358452,0.5366764
215,0.9802,0.44,9.114005,BH,K-Means,"[42, 14, 6, 6, 4]",0.4990213,0.5383353
216,0.9704,1.4200000000000002,9.67638,BH,K-Means,"[40, 11, 4, 9, 4]",0.38402176,0.5361216
217,0.9702,1.44,10.203669,BH,K-Means,"[42, 10, 4, 5, 4]",0.39434052,0.54064703
218,0.9702,1.44,10.1926,BH,K-Means,"[42, 12, 4, 5, 4]",0.37504458,0.5417094
219,0.9752,0.9400000000000001,10.168504,BH,K-Means,"[45, 12, 4, 8, 4]",0.39285493,0.54035974
220,0.9702,1.44,10.197901,BH,K-Means,"[43, 10, 4, 5, 4]",0.38635683,0.5423813
221,0.984,0.06,5.8382916,BH,K-Means,"[36, 27, 20, 15, 15]",0.89705753,0.53983593
222,0.9658,1.8800000000000001,10.74772,BH,K-Means,"[41, 5, 4, 6, 4]",0.63243127,0.5443599
223,0.9702,1.44,10.203669,BH,K-Means,"[42, 10, 4, 5, 4]",0.3889718,0.53923845
224,0.9736,1.0999999999999999,9.65849,BH,K-Means,"[44, 10, 4, 9, 4]",0.40180707,0.5359509
225,0.9632,2.1399999999999997,8.657826,BH,K-Means,"[45, 10, 4, 5, 11]",0.39859366,0.53853965
226,0.9848,-0.02,6.225191,BH,K-Means,"[22, 7, 28, 28, 29]",1.1474817,0.54530764
227,0.975,0.96,10.149263,BH,K-Means,"[45, 16, 4, 7, 4]",0.40603757,0.5340736
